"STATION","NAME","DATE","AWND","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TOBS","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USW00014739","BOSTON, MA US","2016-01-01","12.75","0.00",,"0.0","39","41","33",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-02","13.42","0.00",,"0.0","35","40","31",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-03","11.63","0.00",,"0.0","36","44","31",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-04","12.30","0.00",,"0.0","30","36","14",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-05","10.07","0.00",,"0.0","16","26","8",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-06","10.07","0.00",,"0.0","30","45","21",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-07","6.49","0.00",,"0.0","33","43","26",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-08","10.96","0.00",,"0.0","35","42","30",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-09","6.04","0.01",,"0.0","40","41","38",,,"    1",,,,,,"    1",,
"USW00014739","BOSTON, MA US","2016-01-10","14.99","1.38",,"0.0","45","58","38",,,"    1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2016-01-11","19.24","0.00",,"0.0","40","51","25",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-12","9.62","0.08",,"0.3","29","37","21",,,"    1",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-13","19.69","0.00",,"0.0","29","33","21",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-14","10.51","0.00",,"0.0","24","30","21",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-15","6.49","0.00",,"0.0","31","42","26",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-16","9.40","1.22",,"0.0","39","43","34",,,"    1",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-17","9.40","0.10",,"1.3","35","38","29",,,"    1",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-18","16.78","0.11",,"1.8","27","29","19",,,"    1",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-19","21.92","0.00",,"0.0","20","25","16",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-20","18.79","0.00",,"0.0","24","33","19",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-21","13.87","0.00",,"0.0","27","33","21",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-22","11.41","0.00",,"0.0","24","32","19",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-23","20.36","0.37",,"6.1","29","32","20",,,"    1","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","2016-01-24","11.18","0.00",,"0.0","25","36","18",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-25","7.16","0.00",,"0.0","31","35","26",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-26","14.32","0.00",,"0.0","37","51","28",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-27","12.08","0.00",,"0.0","43","45","31",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-28","8.05","0.00",,"0.0","34","42","26",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-29","7.38","0.00",,"0.0","36","41","33",,,"    1",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-30","13.65","0.00",,"0.0","36","43","30",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-31","11.86","0.00",,"0.0","43","57","38",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-02-01","13.87","0.00",,"0.0","49","65","39",,,,,,,,,,,
"USW00014739","BOSTON, MA US","2016-02-02","6.93","0.00",,"0.0","44","50","36",,,,,,,,,,,
